conv_date,msg_date,hour,day_of_week,month,sender,text_length,has_attachments
2026-01-12,2026-01-12,22,Monday,2026-01,human,189,True
2026-01-12,2026-01-12,22,Monday,2026-01,assistant,2448,False
2026-01-12,2026-01-12,22,Monday,2026-01,human,142,True
2026-01-12,2026-01-12,22,Monday,2026-01,assistant,1796,False
2026-01-12,2026-01-12,22,Monday,2026-01,human,25,False
2026-01-12,2026-01-12,22,Monday,2026-01,assistant,427,False
2026-01-12,2026-01-12,23,Monday,2026-01,human,2900,False
2026-01-12,2026-01-12,23,Monday,2026-01,assistant,1286,False
2026-01-12,2026-01-12,23,Monday,2026-01,human,57,False
2026-01-12,2026-01-12,23,Monday,2026-01,assistant,217,False
2026-01-12,2026-01-12,23,Monday,2026-01,human,102,False
2026-01-12,2026-01-12,23,Monday,2026-01,assistant,1176,False
2026-01-12,2026-01-12,23,Monday,2026-01,human,750,True
2026-01-12,2026-01-12,23,Monday,2026-01,assistant,2251,False
2026-01-12,2026-01-12,23,Monday,2026-01,human,166,False
2026-01-12,2026-01-12,23,Monday,2026-01,assistant,759,False
2026-01-13,2026-01-13,12,Tuesday,2026-01,human,2095,True
2026-01-13,2026-01-13,12,Tuesday,2026-01,assistant,2077,False
2026-01-13,2026-01-13,12,Tuesday,2026-01,human,50,False
2026-01-13,2026-01-13,12,Tuesday,2026-01,assistant,593,False
2026-01-13,2026-01-13,12,Tuesday,2026-01,human,219,False
2026-01-13,2026-01-13,12,Tuesday,2026-01,assistant,1400,False
2026-01-13,2026-01-13,18,Tuesday,2026-01,human,96,False
2026-01-13,2026-01-13,18,Tuesday,2026-01,assistant,1109,False
2026-01-13,2026-01-13,18,Tuesday,2026-01,human,179,False
2026-01-13,2026-01-13,18,Tuesday,2026-01,assistant,4308,False
2026-01-13,2026-01-13,19,Tuesday,2026-01,human,302,False
2026-01-13,2026-01-13,19,Tuesday,2026-01,assistant,2785,False
2026-01-13,2026-01-13,19,Tuesday,2026-01,human,485,True
2026-01-13,2026-01-13,19,Tuesday,2026-01,assistant,2562,False
2026-01-13,2026-01-13,19,Tuesday,2026-01,human,209,False
2026-01-13,2026-01-13,19,Tuesday,2026-01,assistant,2298,False
2026-01-13,2026-01-13,18,Tuesday,2026-01,human,66,False
2026-01-13,2026-01-13,18,Tuesday,2026-01,assistant,666,False
2026-01-13,2026-01-13,23,Tuesday,2026-01,human,131,False
